Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Variant 4 - Name,Variant 4 - Price,Variant 4 - SKU,Variant 5 - Name,Variant 5 - Price,Variant 5 - SKU,Variant 6 - Name,Variant 6 - Price,Variant 6 - SKU,Variant 7 - Name,Variant 7 - Price,Variant 7 - SKU,Variant 8 - Name,Variant 8 - Price,Variant 8 - SKU,Variant 9 - Name,Variant 9 - Price,Variant 9 - SKU,Variant 10 - Name,Variant 10 - Price,Variant 10 - SKU,Variant 11 - Name,Variant 11 - Price,Variant 11 - SKU,Variant 12 - Name,Variant 12 - Price,Variant 12 - SKU,Variant 13 - Name,Variant 13 - Price,Variant 13 - SKU,Variant 14 - Name,Variant 14 - Price,Variant 14 - SKU,Variant 15 - Name,Variant 15 - Price,Variant 15 - SKU,Variant 16 - Name,Variant 16 - Price,Variant 16 - SKU,Variant 17 - Name,Variant 17 - Price,Variant 17 - SKU,Variant 18 - Name,Variant 18 - Price,Variant 18 - SKU,Variant 19 - Name,Variant 19 - Price,Variant 19 - SKU,Variant 20 - Name,Variant 20 - Price,Variant 20 - SKU,Variant 21 - Name,Variant 21 - Price,Variant 21 - SKU,Variant 22 - Name,Variant 22 - Price,Variant 22 - SKU,Variant 23 - Name,Variant 23 - Price,Variant 23 - SKU,Variant 24 - Name,Variant 24 - Price,Variant 24 - SKU,Variant 25 - Name,Variant 25 - Price,Variant 25 - SKU,Variant 26 - Name,Variant 26 - Price,Variant 26 - SKU,Variant 27 - Name,Variant 27 - Price,Variant 27 - SKU,Variant 28 - Name,Variant 28 - Price,Variant 28 - SKU,Variant 29 - Name,Variant 29 - Price,Variant 29 - SKU,Variant 30 - Name,Variant 30 - Price,Variant 30 - SKU,Variant 31 - Name,Variant 31 - Price,Variant 31 - SKU,Variant 32 - Name,Variant 32 - Price,Variant 32 - SKU,Variant 33 - Name,Variant 33 - Price,Variant 33 - SKU,Variant 34 - Name,Variant 34 - Price,Variant 34 - SKU,Variant 35 - Name,Variant 35 - Price,Variant 35 - SKU,Variant 36 - Name,Variant 36 - Price,Variant 36 - SKU,Variant 37 - Name,Variant 37 - Price,Variant 37 - SKU,Variant 38 - Name,Variant 38 - Price,Variant 38 - SKU,Variant 39 - Name,Variant 39 - Price,Variant 39 - SKU,Variant 40 - Name,Variant 40 - Price,Variant 40 - SKU,Modifier Set - Glassy Designs,Modifier Set - Eko Kreations Designs,Modifier Set - Tahoe Basics Onesie Designs,Modifier Set - Bound Print Company Colors,Modifier Set - Sierra Essentials Exp Packs,Modifier Set - Onesies Sizes,Modifier Set - Dharma Love Designs,Modifier Set - Trunk Show Glassware Designs,Modifier Set - Ring Size,Modifier Set - Any Cup Holder,Modifier Set - BP LT Jewelry Colors,Modifier Set - Sierra Essentials Scent,Modifier Set - Rise Designs,Modifier Set - Tahoe Basics Glassware Design,Modifier Set - SIERRA Essentials Rub Flavors,Modifier Set - Final Sale ,Modifier Set - Trucker Hat Colors,Modifier Set - Tahoe Basics Onesie Colors,Modifier Set - Jude Bischoff Prints,Modifier Set - BPC Mug Lake Colors ,Modifier Set - T-shirt sizes,Modifier Set - Tahoe Basics Hoodie Colors,Modifier Set - Sierra Essentials H&F Scent,Modifier Set - Trunk Show Glassware Designs,Modifier Set - Rise Trucker Hat Colors,Modifier Set - Rise SnapBack Colors,Modifier Set - Shredhead Designs,Modifier Set - Jewelry Metal Options,Tax - Sales Tax (7.5%)
8127E106-0D93-42D4-AC56-95137594658F,"11"" X 14""",Scott Thompson Photography,,Regular Price,97.950000,SCOTTTH-11X14-REGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
50F391B3-7E08-42D8-A0CC-719ACAB7DAD2,"20""x30"" Canvas Wrap ",Scott Thompson Photography,,Regular Price,797.950000,SCOTTTH-20X30-REGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
06D3A7E5-1E47-4D5B-9D91-1CABC1B5E8E9,3 Fish Stringers ,Jeff Burglund,,Regular Price,58.000000,JEFFBUR-3FISHS-REGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
233BC726-8824-4F6F-87DA-30E9F800339B,5x7,,,Regular Price,18.000000,-5X7-REGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
9773A608-8681-4C7C-9E76-3092694C553C,"8""x10 Print",Scott Thompson Photography,,Regular Price,29.950000,SCOTTTH-8X10PR-REGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
5648C103-D850-46FC-82AE-C18EEF9923B6,All Good Sunstick ,All Good,,Unscented,8.990000,ALLGOOD-ALLGOOD-UNSC,Coconut ,8.990000,ALLGOOD-ALLGOOD-COCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
5648C103-D850-46FC-82AE-C18EEF9923B6,All Good Sunstick ,All Good,,Unscented,8.990000,ALLGOOD-ALLGOOD-UNSC,Coconut ,8.990000,ALLGOOD-ALLGOOD-COCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
234CE7A8-4FF0-418E-84B9-FC6333840AB6,All Purpose Seasoning,Tahoe Spice Works,,Regular Price,9.000000,TAHOESP-ALLPURP-REGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
4DA18193-FB45-4089-9AEE-19404FA11F64,Alpine Lake Mountain Art,The Mountain Nomad,,Large ,130.000000,THEMOUN-ALPINEL-LARG,Medium ,100.000000,THEMOUN-ALPINEL-MEDI,Small,80.000000,THEMOUN-ALPINEL-SMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
4DA18193-FB45-4089-9AEE-19404FA11F64,Alpine Lake Mountain Art,The Mountain Nomad,,Large ,130.000000,THEMOUN-ALPINEL-LARG,Medium ,100.000000,THEMOUN-ALPINEL-MEDI,Small,80.000000,THEMOUN-ALPINEL-SMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
